epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.073,1.45553,2.75424,1.20989,0.0061,0.91596,0.28364,0.16051,1.30275,3.42251,1.09913,0.000541044,0.000541044,0.000541044
2,398.26,1.42365,1.84202,1.17335,0.8207,0.14152,0.47426,0.24208,1.52014,3.23522,1.37304,0.001075,0.001075,0.001075
3,596.338,1.43423,1.68679,1.19517,0.63312,0.54167,0.56695,0.29928,1.53516,2.25418,1.31142,0.00158694,0.00158694,0.00158694
4,793.275,1.43076,1.56977,1.20035,0.59445,0.56305,0.57374,0.32901,1.47216,1.82374,1.27276,0.00156798,0.00156798,0.00156798
5,988.935,1.42695,1.50315,1.19387,0.61893,0.70655,0.66181,0.35647,1.49245,1.69822,1.24452,0.00153497,0.00153497,0.00153497
6,1442.77,1.37159,1.3173,1.17197,0.66984,0.66223,0.69958,0.3816,1.47435,1.40155,1.26982,0.00150197,0.00150197,0.00150197
7,1639.59,1.36632,1.22338,1.17297,0.55642,0.6863,0.63429,0.36151,1.43174,1.43184,1.23728,0.00146896,0.00146896,0.00146896
8,1836.42,1.34824,1.24683,1.15553,0.69151,0.68269,0.69801,0.38499,1.43476,1.47332,1.24435,0.00143595,0.00143595,0.00143595
9,2033.21,1.34318,1.17238,1.15585,0.63079,0.60264,0.59738,0.30653,1.5661,1.43255,1.34912,0.00140295,0.00140295,0.00140295
10,2235.33,1.32693,1.13434,1.14932,0.70003,0.76859,0.76447,0.42723,1.42061,1.08089,1.21918,0.00136994,0.00136994,0.00136994
11,2442.18,1.35935,1.07313,1.15127,0.58975,0.7315,0.68971,0.39437,1.36346,1.26879,1.19264,0.00133693,0.00133693,0.00133693
12,2648.44,1.33163,1.04933,1.13674,0.66514,0.72092,0.74381,0.41954,1.40689,1.28999,1.20036,0.00130393,0.00130393,0.00130393
13,2854.78,1.27884,1.00516,1.11641,0.73912,0.68043,0.72936,0.39819,1.41457,1.2476,1.21237,0.00127092,0.00127092,0.00127092
14,3061.48,1.30331,1.00066,1.13263,0.66872,0.78205,0.76538,0.47016,1.32999,1.02071,1.1729,0.00123791,0.00123791,0.00123791
15,3261.21,1.30124,0.96246,1.13846,0.69853,0.74341,0.74979,0.42823,1.39096,1.0136,1.19936,0.00120491,0.00120491,0.00120491
16,3456.74,1.25293,0.92243,1.11522,0.75589,0.73264,0.7988,0.46933,1.35837,0.96484,1.20099,0.0011719,0.0011719,0.0011719
17,3657.36,1.2668,0.90126,1.11365,0.73319,0.76885,0.79495,0.44959,1.4118,0.97829,1.22542,0.00113889,0.00113889,0.00113889
18,3852.96,1.2671,0.90432,1.12306,0.64662,0.78389,0.72822,0.43406,1.38486,0.9871,1.20154,0.00110589,0.00110589,0.00110589
19,4051.91,1.24476,0.90498,1.10368,0.72384,0.68969,0.75426,0.43988,1.37442,1.06177,1.19441,0.00107288,0.00107288,0.00107288
20,4251.73,1.25252,0.87908,1.11794,0.66029,0.72008,0.74076,0.43212,1.37223,1.12786,1.21207,0.00103987,0.00103987,0.00103987
21,4452.08,1.23248,0.87532,1.09621,0.63945,0.76873,0.77084,0.4504,1.38848,1.02643,1.20907,0.00100687,0.00100687,0.00100687
22,4650.05,1.21944,0.80244,1.08715,0.73341,0.78549,0.79195,0.47573,1.3713,0.96691,1.19722,0.000973861,0.000973861,0.000973861
23,4849.03,1.19416,0.81001,1.07328,0.68499,0.7656,0.78052,0.44497,1.40515,0.95034,1.23629,0.000940855,0.000940855,0.000940855
24,5047.57,1.20337,0.82966,1.09283,0.79582,0.64788,0.74591,0.42389,1.4337,1.04722,1.25156,0.000907848,0.000907848,0.000907848
25,5263.18,1.19645,0.79435,1.07919,0.77222,0.77228,0.8142,0.48885,1.35406,0.89619,1.19294,0.000874842,0.000874842,0.000874842
26,5478.82,1.18119,0.77855,1.0673,0.7765,0.76987,0.83696,0.48424,1.38773,0.8745,1.20651,0.000841835,0.000841835,0.000841835
27,5702.44,1.1842,0.78341,1.08853,0.74355,0.74444,0.78838,0.4631,1.36942,0.97995,1.20016,0.000808828,0.000808828,0.000808828
28,5926.85,1.17801,0.76886,1.07388,0.79272,0.77612,0.81076,0.47326,1.38732,0.95019,1.21194,0.000775822,0.000775822,0.000775822
29,6142.99,1.16067,0.76173,1.05732,0.74289,0.7183,0.77987,0.46559,1.36198,1.02553,1.1816,0.000742815,0.000742815,0.000742815
30,6360.07,1.14421,0.74411,1.06106,0.79266,0.70878,0.80106,0.46244,1.43632,0.90507,1.24146,0.000709809,0.000709809,0.000709809
31,6579.29,1.16414,0.72282,1.06337,0.78092,0.73714,0.80036,0.47379,1.37495,0.93074,1.20481,0.000676802,0.000676802,0.000676802
32,6779.75,1.14574,0.70435,1.06176,0.71919,0.79578,0.81925,0.47885,1.42785,0.89391,1.24658,0.000643795,0.000643795,0.000643795
33,6986.58,1.14218,0.67469,1.05499,0.71578,0.77023,0.80172,0.47514,1.38139,0.91837,1.21233,0.000610789,0.000610789,0.000610789
34,7192.05,1.11832,0.69395,1.05455,0.76447,0.78514,0.79874,0.46925,1.389,0.87651,1.20728,0.000577782,0.000577782,0.000577782
35,7393.96,1.10406,0.68669,1.03312,0.75309,0.77493,0.82809,0.48558,1.40024,0.84186,1.21287,0.000544776,0.000544776,0.000544776
